Date,Price,Quatity Sold
Aug 13 2021 01: +0,0.505,13232
Aug 14 2021 01: +0,0.515,9729
Aug 14 2021 19: +0,0.52,632
Aug 14 2021 20: +0,0.512,525
Aug 14 2021 21: +0,0.51,700
Aug 14 2021 22: +0,0.494,275
Aug 14 2021 23: +0,0.5,489
Aug 15 2021 00: +0,0.529,1147
Aug 15 2021 01: +0,0.473,1323
Aug 15 2021 02: +0,0.512,506
Aug 15 2021 03: +0,0.518,305
Aug 15 2021 04: +0,0.52,650
Aug 15 2021 05: +0,0.53,311
Aug 15 2021 06: +0,0.53,452
Aug 15 2021 07: +0,0.524,221
Aug 15 2021 08: +0,0.53,568
Aug 15 2021 09: +0,0.512,814
Aug 15 2021 10: +0,0.526,1007
Aug 15 2021 11: +0,0.517,425
Aug 15 2021 12: +0,0.517,544
Aug 15 2021 13: +0,0.52,538
Aug 15 2021 14: +0,0.506,689
Aug 15 2021 15: +0,0.517,733
Aug 15 2021 16: +0,0.517,728
Aug 15 2021 17: +0,0.522,690
Aug 15 2021 18: +0,0.537,980
Aug 15 2021 19: +0,0.53,589
Aug 15 2021 20: +0,0.53,840
Aug 15 2021 21: +0,0.482,542
Aug 15 2021 22: +0,0.5,314
Aug 15 2021 23: +0,0.517,399
Aug 16 2021 00: +0,0.529,294
Aug 16 2021 01: +0,0.516,201
Aug 16 2021 02: +0,0.53,418
Aug 16 2021 03: +0,0.53,438
Aug 16 2021 04: +0,0.533,293
Aug 16 2021 05: +0,0.529,385
Aug 16 2021 06: +0,0.52,303
Aug 16 2021 07: +0,0.503,263
Aug 16 2021 08: +0,0.521,526
Aug 16 2021 09: +0,0.526,540
Aug 16 2021 10: +0,0.524,506
Aug 16 2021 11: +0,0.52,663
Aug 16 2021 12: +0,0.52,706
Aug 16 2021 13: +0,0.506,415
Aug 16 2021 14: +0,0.501,783
Aug 16 2021 15: +0,0.511,624
Aug 16 2021 16: +0,0.507,586
Aug 16 2021 17: +0,0.494,570
Aug 16 2021 18: +0,0.5,507
Aug 16 2021 19: +0,0.5,610
Aug 16 2021 20: +0,0.506,743
Aug 16 2021 21: +0,0.494,568
Aug 16 2021 22: +0,0.483,316
Aug 16 2021 23: +0,0.5,262
Aug 17 2021 00: +0,0.508,361
Aug 17 2021 01: +0,0.494,132
Aug 17 2021 02: +0,0.51,168
Aug 17 2021 03: +0,0.507,151
Aug 17 2021 04: +0,0.501,196
Aug 17 2021 05: +0,0.51,278
Aug 17 2021 06: +0,0.5,150
Aug 17 2021 07: +0,0.5,313
Aug 17 2021 08: +0,0.509,497
Aug 17 2021 09: +0,0.506,396
Aug 17 2021 10: +0,0.506,705
Aug 17 2021 11: +0,0.49,379
Aug 17 2021 12: +0,0.48,474
Aug 17 2021 13: +0,0.503,735
Aug 17 2021 14: +0,0.506,344
Aug 17 2021 15: +0,0.506,844
Aug 17 2021 16: +0,0.494,556
Aug 17 2021 17: +0,0.494,634
Aug 17 2021 18: +0,0.501,714
Aug 17 2021 19: +0,0.508,438
Aug 17 2021 20: +0,0.477,394
Aug 17 2021 21: +0,0.474,477
Aug 17 2021 22: +0,0.469,352
Aug 17 2021 23: +0,0.469,444
Aug 18 2021 00: +0,0.493,240
Aug 18 2021 01: +0,0.5,278
Aug 18 2021 02: +0,0.509,296
Aug 18 2021 03: +0,0.502,186
Aug 18 2021 04: +0,0.506,176
Aug 18 2021 05: +0,0.5,286
Aug 18 2021 06: +0,0.499,386
Aug 18 2021 07: +0,0.49,306
Aug 18 2021 08: +0,0.479,278
Aug 18 2021 09: +0,0.473,490
Aug 18 2021 10: +0,0.478,397
Aug 18 2021 11: +0,0.483,522
Aug 18 2021 12: +0,0.479,506
Aug 18 2021 13: +0,0.49,391
Aug 18 2021 14: +0,0.5,762
Aug 18 2021 15: +0,0.498,649
Aug 18 2021 16: +0,0.499,1065
Aug 18 2021 17: +0,0.496,654
Aug 18 2021 18: +0,0.481,541
Aug 18 2021 19: +0,0.473,435
Aug 18 2021 20: +0,0.472,534
Aug 18 2021 21: +0,0.46,887
Aug 18 2021 22: +0,0.468,457
Aug 18 2021 23: +0,0.467,445
Aug 19 2021 00: +0,0.46,322
Aug 19 2021 01: +0,0.47,227
Aug 19 2021 02: +0,0.47,492
Aug 19 2021 03: +0,0.47,652
Aug 19 2021 04: +0,0.48,378
Aug 19 2021 05: +0,0.484,475
Aug 19 2021 06: +0,0.48,432
Aug 19 2021 07: +0,0.5,390
