Date,Price,Quantity Sold
Nov 22 2018 01: +0,0.03,19526
Nov 23 2018 01: +0,0.03,20102
Nov 24 2018 01: +0,0.03,22117
Nov 25 2018 01: +0,0.03,25800
Nov 26 2018 01: +0,0.03,17663
Nov 27 2018 01: +0,0.03,22460
Nov 28 2018 01: +0,0.03,20872
Nov 29 2018 01: +0,0.03,19132
Nov 30 2018 01: +0,0.03,18899
Dec 01 2018 01: +0,0.03,24734
Dec 02 2018 01: +0,0.03,25144
Dec 03 2018 01: +0,0.03,16512
Dec 04 2018 01: +0,0.03,16499
Dec 05 2018 01: +0,0.03,17691
Dec 06 2018 01: +0,0.03,17503
Dec 07 2018 01: +0,0.03,22687
Dec 08 2018 01: +0,0.03,28030
Dec 09 2018 01: +0,0.03,25867
Dec 10 2018 01: +0,0.03,22615
Dec 11 2018 01: +0,0.03,23903
Dec 12 2018 01: +0,0.03,22210
Dec 13 2018 01: +0,0.03,22903
Dec 14 2018 01: +0,0.03,26485
Dec 15 2018 01: +0,0.03,26244
Dec 16 2018 01: +0,0.03,25205
Dec 17 2018 01: +0,0.03,21366
Dec 18 2018 01: +0,0.03,22926
Dec 19 2018 01: +0,0.03,21533
Dec 20 2018 01: +0,0.03,22131
Dec 21 2018 01: +0,0.03,31473
Dec 22 2018 01: +0,0.03,29214
Dec 23 2018 01: +0,0.03,28369
Dec 24 2018 01: +0,0.03,28272
Dec 25 2018 01: +0,0.03,35835
Dec 26 2018 01: +0,0.03,31449
Dec 27 2018 01: +0,0.03,30036
Dec 28 2018 01: +0,0.03,26850
Dec 29 2018 01: +0,0.03,30648
Dec 30 2018 01: +0,0.03,24951
Dec 31 2018 01: +0,0.03,29090
Jan 01 2019 01: +0,0.03,28340
Jan 02 2019 01: +0,0.03,31567
Jan 03 2019 01: +0,0.03,33896
Jan 04 2019 01: +0,0.03,33145
Jan 05 2019 01: +0,0.03,32152
Jan 06 2019 01: +0,0.03,27189
Jan 07 2019 01: +0,0.03,26416
Jan 08 2019 01: +0,0.03,26181
Jan 09 2019 01: +0,0.03,25780
Jan 10 2019 01: +0,0.03,29522
Jan 11 2019 01: +0,0.03,29142
Jan 12 2019 01: +0,0.03,29234
Jan 13 2019 01: +0,0.03,30101
Jan 14 2019 01: +0,0.03,34312
Jan 15 2019 01: +0,0.03,29197
Jan 16 2019 01: +0,0.03,32197
Jan 17 2019 01: +0,0.03,35989
Jan 18 2019 01: +0,0.03,27177
Jan 19 2019 01: +0,0.03,34941
Jan 20 2019 01: +0,0.03,36077
Jan 21 2019 01: +0,0.03,32522
Jan 22 2019 01: +0,0.03,31814
Jan 23 2019 01: +0,0.03,29834
Jan 24 2019 01: +0,0.03,30860
Jan 25 2019 01: +0,0.03,33558
Jan 26 2019 01: +0,0.03,36121
Jan 27 2019 01: +0,0.03,35503
Jan 28 2019 01: +0,0.03,30003
Jan 29 2019 01: +0,0.03,32014
Jan 30 2019 01: +0,0.03,33844
Jan 31 2019 01: +0,0.03,41773
Feb 01 2019 01: +0,0.03,28318
Feb 02 2019 01: +0,0.03,29751
Feb 03 2019 01: +0,0.03,42311
Feb 04 2019 01: +0,0.03,31348
Feb 05 2019 01: +0,0.03,27421
Feb 06 2019 01: +0,0.03,26062
Feb 07 2019 01: +0,0.03,32598
Feb 08 2019 01: +0,0.03,36172
Feb 09 2019 01: +0,0.03,35897
Feb 10 2019 01: +0,0.03,30872
Feb 11 2019 01: +0,0.03,31630
Feb 12 2019 01: +0,0.03,31456
Feb 13 2019 01: +0,0.03,32867
Feb 14 2019 01: +0,0.03,26891
Feb 15 2019 01: +0,0.03,34176
Feb 16 2019 01: +0,0.03,30288
Feb 17 2019 01: +0,0.03,30748
Feb 18 2019 01: +0,0.03,26222
Feb 19 2019 01: +0,0.03,33154
Feb 20 2019 01: +0,0.03,47083
Feb 21 2019 01: +0,0.03,36893
Feb 22 2019 01: +0,0.03,37473
Feb 23 2019 01: +0,0.03,37532
Feb 24 2019 01: +0,0.03,37636
Feb 25 2019 01: +0,0.03,28341
Feb 26 2019 01: +0,0.03,28427
Feb 27 2019 01: +0,0.03,31556
Feb 28 2019 01: +0,0.03,34798
Mar 01 2019 01: +0,0.03,35830
Mar 02 2019 01: +0,0.03,47668
Mar 03 2019 01: +0,0.03,42993
Mar 04 2019 01: +0,0.03,34728
Mar 05 2019 01: +0,0.03,29388
Mar 06 2019 01: +0,0.03,35046
Mar 07 2019 01: +0,0.03,32109
Mar 08 2019 01: +0,0.03,35252
Mar 09 2019 01: +0,0.03,42547
Mar 10 2019 01: +0,0.03,36592
Mar 11 2019 01: +0,0.03,32906
Mar 12 2019 01: +0,0.03,29451
Mar 13 2019 01: +0,0.03,30990
Mar 14 2019 01: +0,0.03,34898
Mar 15 2019 01: +0,0.03,38638
Mar 16 2019 01: +0,0.03,48264
Mar 17 2019 01: +0,0.03,41603
Mar 18 2019 01: +0,0.03,36437
Mar 19 2019 01: +0,0.03,34493
Mar 20 2019 01: +0,0.03,32678
Mar 21 2019 01: +0,0.03,37737
Mar 22 2019 01: +0,0.03,43070
Mar 23 2019 01: +0,0.03,42793
Mar 24 2019 01: +0,0.03,43092
Mar 25 2019 01: +0,0.03,38813
Mar 26 2019 01: +0,0.03,38201
Mar 27 2019 01: +0,0.03,38673
Mar 28 2019 01: +0,0.03,38945
Mar 29 2019 01: +0,0.03,43055
Mar 30 2019 01: +0,0.03,39556
Mar 31 2019 01: +0,0.03,44009
Apr 01 2019 01: +0,0.03,31771
Apr 02 2019 01: +0,0.03,48453
Apr 03 2019 01: +0,0.03,38589
Apr 04 2019 01: +0,0.03,49652
Apr 05 2019 01: +0,0.03,31477
Apr 06 2019 01: +0,0.03,33985
Apr 07 2019 01: +0,0.03,37263
Apr 08 2019 01: +0,0.03,34415
Apr 09 2019 01: +0,0.03,31445
Apr 10 2019 01: +0,0.03,39647
Apr 11 2019 01: +0,0.03,40008
Apr 12 2019 01: +0,0.03,38398
Apr 13 2019 01: +0,0.03,54277
Apr 14 2019 01: +0,0.03,47380
Apr 15 2019 01: +0,0.03,45310
Apr 16 2019 01: +0,0.03,45372
Apr 17 2019 01: +0,0.03,51791
Apr 18 2019 01: +0,0.03,49903
Apr 19 2019 01: +0,0.03,40255
Apr 20 2019 01: +0,0.03,46725
Apr 21 2019 01: +0,0.03,37134
Apr 22 2019 01: +0,0.03,43037
Apr 23 2019 01: +0,0.03,38127
Apr 24 2019 01: +0,0.03,39252
Apr 25 2019 01: +0,0.03,28508
Apr 26 2019 01: +0,0.03,28102
Apr 27 2019 01: +0,0.03,42065
Apr 28 2019 01: +0,0.03,35854
Apr 29 2019 01: +0,0.03,30511
Apr 30 2019 01: +0,0.03,36607
May 01 2019 01: +0,0.03,37261
May 02 2019 01: +0,0.03,36948
May 03 2019 01: +0,0.03,37263
May 04 2019 01: +0,0.03,39808
May 05 2019 01: +0,0.03,46892
May 06 2019 01: +0,0.03,28234
May 07 2019 01: +0,0.03,29949
May 08 2019 01: +0,0.03,31042
May 09 2019 01: +0,0.03,28154
May 10 2019 01: +0,0.03,46841
May 11 2019 01: +0,0.03,33507
May 12 2019 01: +0,0.03,30307
May 13 2019 01: +0,0.03,28628
May 14 2019 01: +0,0.03,35463
May 15 2019 01: +0,0.03,42855
May 16 2019 01: +0,0.03,32551
May 17 2019 01: +0,0.03,34597
May 18 2019 01: +0,0.03,42664
May 19 2019 01: +0,0.03,37378
May 20 2019 01: +0,0.03,42274
May 21 2019 01: +0,0.03,37077
May 22 2019 01: +0,0.03,33149
May 23 2019 01: +0,0.03,34186
May 24 2019 01: +0,0.03,35651
May 25 2019 01: +0,0.03,43106
May 26 2019 01: +0,0.03,34712
May 27 2019 01: +0,0.03,33425
May 28 2019 01: +0,0.03,30854
May 29 2019 01: +0,0.03,35813
May 30 2019 01: +0,0.03,33599
May 31 2019 01: +0,0.03,41917
Jun 01 2019 01: +0,0.03,42188
Jun 02 2019 01: +0,0.03,48290
